from_entity_id,to_entity_id,type,weight,evidence_url,note
TSM,NVDA,supplier,1.0,https://www.tsmc.com/english/dedicatedFoundry/services/cowos,Sole foundry for NVDA Hopper/Blackwell GPUs via CoWoS
TSM,AMD,supplier,1.0,https://ir.amd.com/news-events/press-releases,Sole foundry for AMD MI300/MI350 and EPYC CPUs
TSM,AVGO,supplier,0.9,https://investors.broadcom.com,Foundry for AVGO custom ASICs (Google TPU, Meta MTIA)
TSM,AAPL,supplier,1.0,https://www.apple.com/newsroom,Exclusive foundry for A/M-series silicon
TSM,QCOM,supplier,0.7,https://www.qualcomm.com/news,Leading-edge foundry partner for Snapdragon
TSM,MRVL,supplier,0.9,https://investor.marvell.com,Foundry for Marvell custom AI silicon and DSPs
TSM,ALAB,supplier,0.8,https://investors.asteralabs.com,Foundry for Astera Labs Aries/Taurus connectivity ICs
TSM,CRDO,supplier,0.7,https://investors.credosemi.com,Foundry for Credo SerDes/AEC silicon
TSM,INTC,competitor,0.6,https://www.reuters.com/technology/intel-foundry-tsmc,Intel Foundry competes with TSMC at leading edge
ASML,TSM,supplier,1.0,https://www.asml.com/en/investors,Sole supplier of EUV lithography to TSMC
ASML,SAMSUNG,supplier,1.0,https://www.asml.com/en/investors,Sole EUV supplier to Samsung Foundry/memory
ASML,INTC,supplier,1.0,https://www.asml.com/en/news/press-releases,Sole High-NA EUV supplier to Intel 18A
ASML,SK_HYNIX,supplier,0.9,https://www.asml.com/en/investors,EUV supplier to SK Hynix DRAM
ASML,MU,supplier,0.8,https://investors.micron.com,EUV adoption at Micron 1-gamma DRAM
AMAT,TSM,supplier,0.8,https://ir.appliedmaterials.com,Major WFE supplier for deposition/etch at TSMC
AMAT,SAMSUNG,supplier,0.8,https://ir.appliedmaterials.com,Major WFE supplier to Samsung fabs
AMAT,INTC,supplier,0.8,https://ir.appliedmaterials.com,Major WFE supplier to Intel
AMAT,MU,supplier,0.7,https://ir.appliedmaterials.com,WFE supplier for Micron HBM/DRAM
AMAT,SK_HYNIX,supplier,0.7,https://ir.appliedmaterials.com,WFE supplier to SK Hynix
LRCX,TSM,supplier,0.8,https://investor.lamresearch.com,Etch/deposition supplier to TSMC
LRCX,SAMSUNG,supplier,0.8,https://investor.lamresearch.com,Etch/deposition supplier to Samsung
LRCX,SK_HYNIX,supplier,0.9,https://investor.lamresearch.com,Dominant etch supplier in HBM/3D NAND
LRCX,MU,supplier,0.9,https://investor.lamresearch.com,Critical etch supplier for Micron NAND/DRAM
LRCX,INTC,supplier,0.7,https://investor.lamresearch.com,WFE supplier to Intel
KLAC,TSM,supplier,0.9,https://ir.kla.com,Dominant process control/metrology supplier to TSMC
KLAC,SAMSUNG,supplier,0.8,https://ir.kla.com,Process control supplier to Samsung
KLAC,INTC,supplier,0.8,https://ir.kla.com,Process control supplier to Intel
KLAC,SK_HYNIX,supplier,0.7,https://ir.kla.com,Process control supplier to SK Hynix
KLAC,MU,supplier,0.7,https://ir.kla.com,Process control supplier to Micron
AMAT,LRCX,competitor,0.6,https://www.semiconductors.org,WFE peers across deposition/etch overlap
SK_HYNIX,NVDA,supplier,1.0,https://www.skhynix.com/eng/pr,Lead HBM3E supplier to NVIDIA Hopper/Blackwell
SAMSUNG,NVDA,supplier,0.5,https://news.samsung.com,HBM3E qualification ramping for NVDA
MU,NVDA,supplier,0.6,https://investors.micron.com,HBM3E shipping into NVIDIA H200/B200
SK_HYNIX,AMD,supplier,0.7,https://www.skhynix.com/eng/pr,HBM supplier for AMD MI300/MI350
SAMSUNG,AMD,supplier,0.4,https://news.samsung.com,Secondary HBM source for AMD
MU,AMD,supplier,0.4,https://investors.micron.com,Secondary HBM source for AMD
SAMSUNG,GOOGL,supplier,0.7,https://news.samsung.com,HBM into Google TPU; foundry for some TPU gens
MU,SAMSUNG,competitor,0.7,https://www.dramexchange.com,Top-3 DRAM/HBM competitor
MU,SK_HYNIX,competitor,0.8,https://www.dramexchange.com,Top-3 DRAM/HBM competitor
SAMSUNG,SK_HYNIX,competitor,0.8,https://www.dramexchange.com,Korean DRAM/HBM duopoly competitors
AMD,NVDA,competitor,0.9,https://www.amd.com/en/investor,Direct GPU/AI accelerator competitor
INTC,NVDA,competitor,0.4,https://www.intc.com,Gaudi vs NVDA in AI accelerators (small share)
INTC,AMD,competitor,1.0,https://www.intc.com,x86 server CPU duopoly
AVGO,MRVL,competitor,0.8,https://investors.broadcom.com,Custom AI ASIC and merchant networking peers
CDNS,SNPS,competitor,0.9,https://www.cadence.com/en_US/home/company/newsroom.html,EDA duopoly; near-identical TAM
ARM,QCOM,partner,0.9,https://www.arm.com/company/news,Architectural licensee; Snapdragon based on ARM
ARM,AAPL,partner,0.9,https://www.arm.com/company/news,Architectural license; A/M-series ARM ISA
ARM,NVDA,partner,0.6,https://www.arm.com/company/news,Grace CPU built on Neoverse cores
ARM,AMZN,partner,0.7,https://www.arm.com/company/news,AWS Graviton uses Neoverse cores
ARM,MRVL,partner,0.7,https://www.arm.com/company/news,Marvell custom CPUs use ARM cores
ARM,GOOGL,partner,0.5,https://www.arm.com/company/news,Google Axion CPU on Neoverse
NVDA,MSFT,customer,0.9,https://www.microsoft.com/en-us/Investor,Largest hyperscaler GPU buyer (Azure)
NVDA,META,customer,0.9,https://investor.fb.com,Massive Hopper/Blackwell deployments
NVDA,GOOGL,customer,0.6,https://abc.xyz/investor,GPU buyer alongside in-house TPU
NVDA,AMZN,customer,0.7,https://ir.aboutamazon.com,AWS GPU buyer alongside Trainium
NVDA,ORCL,customer,0.8,https://investor.oracle.com,OCI is heavy NVDA GPU buyer
NVDA,CRWV,customer,1.0,https://www.coreweave.com,Neocloud almost wholly on NVDA GPUs; equity ties
NVDA,NBIS,customer,0.9,https://group.nebius.com/investors,Neocloud built on NVDA GPUs
AMD,MSFT,customer,0.6,https://www.microsoft.com/en-us/Investor,Azure deploys MI300X
AMD,META,customer,0.6,https://investor.fb.com,Meta deploys MI300X for inference
AMD,ORCL,customer,0.4,https://investor.oracle.com,OCI offers MI300X clusters
AVGO,GOOGL,customer,1.0,https://investors.broadcom.com,Co-designs and supplies Google TPU silicon
AVGO,META,customer,0.8,https://investors.broadcom.com,Co-designs Meta MTIA inference ASIC
AVGO,BYTEDANCE,customer,0.6,https://www.reuters.com/technology/broadcom-bytedance-ai-chip,Reported ASIC partner for ByteDance
MRVL,AMZN,customer,0.9,https://investor.marvell.com,Co-designs AWS Trainium2; Inferentia silicon
MRVL,MSFT,customer,0.6,https://investor.marvell.com,Custom ASIC partnership for Azure Maia gen
ANET,MSFT,customer,0.9,https://investors.arista.com,Major Azure backbone networking customer
ANET,META,customer,0.9,https://investors.arista.com,Largest single customer; AI fabric build-out
ANET,AVGO,supplier,0.9,https://investors.broadcom.com,Tomahawk/Jericho silicon powers Arista switches
COHR,MSFT,customer,0.6,https://www.coherent.com/news,800G transceiver customer (Azure AI)
COHR,GOOGL,customer,0.6,https://www.coherent.com/news,800G optics into Google AI fabric
COHR,META,customer,0.6,https://www.coherent.com/news,800G optics into Meta AI clusters
LITE,GOOGL,customer,0.7,https://www.lumentum.com/en/about/investors,Datacom optics; AI build-out
LITE,MSFT,customer,0.6,https://www.lumentum.com/en/about/investors,800G transceiver supplier
LITE,AMZN,customer,0.5,https://www.lumentum.com/en/about/investors,Datacom optics for AWS
FN,MSFT,customer,0.7,https://investor.fabrinet.com,Optical module manufacturing for AI optics
FN,COHR,customer,0.9,https://investor.fabrinet.com,Contract manufacturer for Coherent transceivers
FN,LITE,customer,0.5,https://investor.fabrinet.com,Manufactures Lumentum modules
COHR,LITE,competitor,0.9,https://www.coherent.com/news,Direct datacom transceiver competitors
ALAB,NVDA,partner,0.6,https://investors.asteralabs.com,PCIe/CXL retimers in NVDA AI systems
ALAB,AMD,partner,0.5,https://investors.asteralabs.com,Connectivity silicon for MI300 platforms
CRDO,MSFT,customer,0.8,https://investors.credosemi.com,Active Electrical Cable ramp for Azure
CRDO,AMZN,customer,0.7,https://investors.credosemi.com,AEC and SerDes for AWS networking
CRDO,META,customer,0.5,https://investors.credosemi.com,AEC adoption in Meta AI fabric
SMCI,NVDA,customer,0.9,https://www.supermicro.com/en/pressreleases,One of largest NVDA HGX/DGX system builders
DELL,NVDA,customer,0.9,https://investors.delltechnologies.com,Major AI server OEM (XE9680 on Hopper/Blackwell)
HPE,NVDA,customer,0.7,https://investors.hpe.com,AI server line built on NVDA GPUs (Cray)
DELL,SMCI,competitor,0.8,https://investors.delltechnologies.com,Direct AI server OEM competitors
HPE,SMCI,competitor,0.7,https://investors.hpe.com,AI server OEM competitors
DELL,HPE,competitor,0.9,https://investors.delltechnologies.com,Enterprise server duopoly
SMCI,AMD,customer,0.5,https://www.supermicro.com/en/pressreleases,MI300X system builder
DELL,AMD,customer,0.5,https://investors.delltechnologies.com,EPYC and MI300 server platforms
CEG,MSFT,customer,1.0,https://investors.constellationenergy.com,20-yr Three Mile Island PPA for AI datacenters
